Nome,Tipo Evento,Data,Hor√°rio Abertura,Classifica√ß√£o,Local,Cidade,URL Dados
Mercosul iGaming Summit - Gramado,,05/12/2024,11:00,,Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Seminário Estadual para a Avaliação e Revisão do Plano de Atendimento Socioeducativo SINASE - SC,Congressos,11/07/2024,11:00,,Universidade do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Seminário Estadual para a Avaliação e Revisão do PDNDHCA - Santa Catarina,Congressos,12/07/2024,11:00,,Universidade do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
A Melhor Turnê do Mundo: Bella e o Olmo da Bruxa em Florianópolis,Shows,18/07/2024,23:00,,Haôma Baixo Centro Bar,Florianópolis,https://www.sympla.com.br/api/v1/search
Concerto Sinfônico (em Florianópolis/SC),Teatro,06/07/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
MEGA RODADA DE NEGÓCIOS FLORIPA 28/09/2024,Congressos,28/09/2024,11:00,,Hotel Majestic Palace,Florianópolis,https://www.sympla.com.br/api/v1/search
Hackeando os estudos: Os Segredos e Truques de IA dos Estudantes,Cursos,09/07/2024,17:00,,Centro Socioeconômico - CSE UFSC,Florianópolis,https://www.sympla.com.br/api/v1/search
Porter Summit 2024,Baladas,09/11/2024,11:00,,Centro Sul,Florianópolis,https://www.sympla.com.br/api/v1/search
Sessão Especial em comemoração dos 40 anos da ADVB,Cursos,15/07/2024,22:00,,Assembleia Legislativa do Estado de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Workshop: Transformando Pessoas e Territórios Inteligentes,Cursos,25/06/2024,12:30,,CentroSul,Florianópolis,https://www.sympla.com.br/api/v1/search
Florbela Espanca,Teatro,22/06/2024,23:00,,Teatro da UBRO,Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO |RELACIONAMENTO CONJUGAL COMO ENTENDER SEU MARIDO,Cursos,08/03/2024,22:30,,AD Floripa - Igreja Evangélica Assembleia de Deus em Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Floripa Craft Beer,Shows,22/06/2024,14:00,,"Av. Cláudio A. Barbosa, 24",Florianópolis,https://www.sympla.com.br/api/v1/search
21º Congresso Catarinense KLA de Liderança (PRESENCIAL),Congressos,20/07/2024,12:30,,Centrosul,Florianópolis,https://www.sympla.com.br/api/v1/search
FIFTY SHADES FREED/ 50 TONS DE LIBERDADE,Baladas,08/09/2024,01:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
REWIND #03 - OLDSCHOOL HITS PARTY com Rose Bar e JP Bueno,Baladas,21/06/2024,01:00,,Jivago Social Club,Florianópolis,https://www.sympla.com.br/api/v1/search
FaceLift Massage Training Florianópolis,Cursos,19/07/2024,12:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
Mafalda Minnozzi - Florianópolis,,18/06/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
Open Bar das UndrCats + Pista Experimental: Pop BR,Baladas,23/06/2024,02:00,,"Alameda Adolfo Konder, 1007",Florianópolis,https://www.sympla.com.br/api/v1/search
Oficinas - Jornada científica 2024,Cursos,15/06/2024,18:00,,"R. Antônio Dib Mussi, 366",Florianópolis,https://www.sympla.com.br/api/v1/search
Congresso Sul-brasileiro de Gestão Estratégica na Saúde,Congressos,21/09/2024,11:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
Embraza + Pista Experimental: Rave Baile,Baladas,22/06/2024,02:00,,"Alameda Adolfo Konder, 1007",Florianópolis,https://www.sympla.com.br/api/v1/search
PRESENCE LED ZEPPELIN EM CÉLULA SHOWCASE,Baladas,20/07/2024,00:00,,Célula Showcase,Florianópolis,https://www.sympla.com.br/api/v1/search
eDOC4a Florianópolis,Congressos,20/06/2024,11:00,,FACISC - Federação das Associações Empresariais de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
Bruxólico - Teatro dos Livros do Vestibular - 19/10 - 14:00,Teatro,19/10/2024,17:00,,Teatro do CEMJ,Florianópolis,https://www.sympla.com.br/api/v1/search
Bruxólico - Teatro dos Livros do Vestibular - 20/10 - 14:00,Teatro,20/10/2024,17:00,,Teatro do CEMJ,Florianópolis,https://www.sympla.com.br/api/v1/search
DWX | Data World Xperience 25,,20/03/2025,12:00,,CentroSul,Florianópolis,https://www.sympla.com.br/api/v1/search
O Segredo por trás do propósito,Cursos,19/06/2024,22:00,,Majestic Palace Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
EGOV EXPERIENCE TOUR®   O melhor projeto de GOVERNO DIGITAL do mundo e os cases do Brasil,Congressos,03/07/2024,11:00,,Auditório - CIASC ,Florianópolis,https://www.sympla.com.br/api/v1/search
TÁBULA MAGICKA,Cursos,06/07/2024,13:00,,Castelmar Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
Jornada de Cartel: A Psicanálise e os Discursos,Cursos,29/06/2024,17:00,,Edifício Saint James,Florianópolis,https://www.sympla.com.br/api/v1/search
Otimiza 360º FLORIANÓPOLIS - SC | LOJA VIRTUAL (E-COMMERCE) | FARACON CONTABILIDADE,Cursos,26/06/2024,21:00,,Conselho Regional de Contabilidade de Santa Catarina - CRCSC,Florianópolis,https://www.sympla.com.br/api/v1/search
Hey Jude & Orquestra  Florianópolis,,11/08/2024,00:00,,Centro de Cultura e Eventos da UFSC,Florianópolis,https://www.sympla.com.br/api/v1/search
ESPECIAL SINFÔNICO TINA TURNER por OSSCA e Mércia Maruk,,26/07/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
Método Christian Dequeker - Respiração e Apneia (Floripa - SC),Cursos,09/11/2024,12:00,,Racer Academia - Unidade Trindade,Florianópolis,https://www.sympla.com.br/api/v1/search
Fest'Up Floripa 2024,,23/08/2024,11:30,,SENAC Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
O Segredo da Comunicação - 3º Edição,Cursos,04/08/2024,10:30,,LK Design Hotel - Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO | EU E MINHA CASA,Cursos,03/06/2024,22:30,,AD Floripa - Igreja Evangélica Assembleia de Deus em Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO | COMUNICAÇÃO,Cursos,03/06/2024,22:30,,AD Floripa - Igreja Evangélica Assembleia de Deus em Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
SAMBA DAS PRETA,Baladas,23/06/2024,00:30,,Alameda do Samba,Florianópolis,https://www.sympla.com.br/api/v1/search
Beer N' Sales 10ª Edição | Florianópolis,Cursos,20/06/2024,21:30,,Wooden Tap Beer,Florianópolis,https://www.sympla.com.br/api/v1/search
Happy Hour Startup Summit Universidades 2024,Cursos,14/08/2024,22:30,,Hard Rock Cafe Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Dia Internacional da Mulher na Engenharia,Congressos,26/06/2024,22:00,,CREA-SC,Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO DE HABILITAÇÃO EM SUTURA SIMPLES PARA ENFERMEIROS,Cursos,06/07/2024,11:00,,HOTEL CASTELMAR,Florianópolis,https://www.sympla.com.br/api/v1/search
ESPECIAL SINFÔNICO THE BEATLES por OSSCA e SONIDO CLUB,,28/06/2024,23:00,,Teatro Ademir Rosa,Florianópolis,https://www.sympla.com.br/api/v1/search
6º Simpósio de Psicogeriatria da ACP,Congressos,29/06/2024,12:00,,Mercure Florianopolis Convention Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
Halloween PARTY (9 ate 15 anos),Baladas,25/10/2024,22:00,,SHAPES ingles para criancas ,Florianópolis,https://www.sympla.com.br/api/v1/search
Tablao - Dança Flamenca com música ao vivo,Teatro,30/06/2024,22:30,,FLAMENCO Carol Ferrari,Florianópolis,https://www.sympla.com.br/api/v1/search
Wander Wildner no Célula Cultural,Shows,21/06/2024,00:00,,Célula Showcase,Florianópolis,https://www.sympla.com.br/api/v1/search
🎸 THESE DAYS - TRIBUTO OFICIAL DO BON JOVI AO VIVO!,,25/08/2024,00:00,,Centro de Cultura e Eventos da UFSC,Florianópolis,https://www.sympla.com.br/api/v1/search
Festival de Arquitetura - ESCRITÓRIO ABERTO,Cursos,15/06/2024,12:00,,Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Cogumelo Plutão Tour 25 anos em Floripa!,Shows,27/07/2024,01:00,,Celula Show Case,Florianópolis,https://www.sympla.com.br/api/v1/search
Seminário - Evento de testes e treinamento,Congressos,14/10/2024,11:00,,"Rod. José Carlos Daux, 10460",Florianópolis,https://www.sympla.com.br/api/v1/search
"Lúcia Helena Galvão em Florianópolis - Palestra ""As Leis Universais do Caibalion""",Cursos,21/09/2024,21:00,,Associação Catarinense de Medicina,Florianópolis,https://www.sympla.com.br/api/v1/search
Cinema na Rua,Baladas,17/06/2024,22:00,,Teatro Álvaro de Carvalho,Florianópolis,https://www.sympla.com.br/api/v1/search
Impérium Rock Festival // 05/JUL - Sexta na Célula Showcase,Baladas,06/07/2024,01:00,,Célula Showcase,Florianópolis,https://www.sympla.com.br/api/v1/search
Vou mudar para TI - Seu início na área da tecnologia,Cursos,19/08/2024,21:00,,ACATE,Florianópolis,https://www.sympla.com.br/api/v1/search
EXPERIENCE DAY - 21 E 22 DE JUNHO,Cursos,21/06/2024,11:00,,Geração Yamaha Experience,Florianópolis,https://www.sympla.com.br/api/v1/search
Arraiá Square SC,Baladas,12/07/2024,20:30,,"Rod. José Carlos Daux, 5500",Florianópolis,https://www.sympla.com.br/api/v1/search
CURSO PRESENCIAL DE GESTÃO DE TRÁFEGO PAGO EM FLORIANÓPOLIS,Cursos,22/06/2024,11:00,,Square SC,Florianópolis,https://www.sympla.com.br/api/v1/search
Hertech Revolution Apresenta: Superpoderes das Vendas - Mulheres na Área Comercial,Cursos,04/07/2024,22:00,,SOHO Centro de Inovação Tecnológica,Florianópolis,https://www.sympla.com.br/api/v1/search
RELACIONAMENTOS SEM COMPLICAÇÃO - Workshop de Meditação,Cursos,13/07/2024,13:00,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Kono o pequeno grande pássaro,Teatro,06/07/2024,19:00,,Livraria Divertida,Florianópolis,https://www.sympla.com.br/api/v1/search
Workshop Cassol - Novas tecnologias de argamassa - Florianópolis/SC,Cursos,25/06/2024,22:00,,Cassol SC 401,Florianópolis,https://www.sympla.com.br/api/v1/search
Festa Junina - Garagem da Dança,Baladas,28/06/2024,21:00,,Garagem da Dança,Florianópolis,https://www.sympla.com.br/api/v1/search
Diálogos Necessários sobre o Patrimônio Arquitetônico Moderno Catarinense,,21/06/2024,17:00,,Edifício Portobello - Unisul,Florianópolis,https://www.sympla.com.br/api/v1/search
MB Summit Florianópolis 2024,Congressos,19/11/2024,11:00,,Square,Florianópolis,https://www.sympla.com.br/api/v1/search
Sem Papéis - Jogos de Improviso | Segunda Sessão,Teatro,29/06/2024,23:30,,Camarim - Escola de Arte,Florianópolis,https://www.sympla.com.br/api/v1/search
Sem Papéis - Jogos de Improviso | Primeira Sessão,Teatro,29/06/2024,21:30,,Camarim - Escola de Arte,Florianópolis,https://www.sympla.com.br/api/v1/search
Mentoring Day - Linkedin Business - Nível Básico,Cursos,27/06/2024,17:00,,B2B Offices,Florianópolis,https://www.sympla.com.br/api/v1/search
Fornalha Tour - Florianópolis/ SC,,14/08/2024,22:30,,Get Church,Florianópolis,https://www.sympla.com.br/api/v1/search
8ª Jornada de Psiquiatria da Infância e Adolescência da ACP,Congressos,28/06/2024,12:00,,Mercure Florianopolis Convention Hotel,Florianópolis,https://www.sympla.com.br/api/v1/search
71ª Jornada Catarinense de Dermatologia,Cursos,28/06/2024,16:00,,Hotel Intercity Portofino Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Apresentação de projetos premiados IAB e a Experiência do centro cultural Veras,,18/06/2024,21:00,,Centro Cultural Veras,Florianópolis,https://www.sympla.com.br/api/v1/search
Workshop de Planejamento Estratégico e Gestão Ágil,Cursos,20/07/2024,11:30,,Lemonadde Coworking + Office,Florianópolis,https://www.sympla.com.br/api/v1/search
"Staffing Talks: Insights sobre PJ, CLT e Cooperado no mundo do Direito do Trabalho.",Congressos,27/06/2024,22:00,,Soho Centro de Inovação Tecnológica,Florianópolis,https://www.sympla.com.br/api/v1/search
UMA MENTE RESILIENTE _Workshop de Meditação,Cursos,22/06/2024,13:00,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Celebração do Solstício de Inverno - Festa Junina,Baladas,21/06/2024,18:00,,Avalon Evolutive School,Florianópolis,https://www.sympla.com.br/api/v1/search
Quinta dos Sonhos - Feira de Noivos (Florianópolis),,20/06/2024,21:00,,Indaiá Eventos - Mirante da Lagoa,Florianópolis,https://www.sympla.com.br/api/v1/search
Talk Gestão de Valor,Congressos,27/06/2024,22:00,,Square SC,Florianópolis,https://www.sympla.com.br/api/v1/search
Dermato In Rio 2024,Congressos,28/06/2024,11:00,,Associação Catarinense de Medicina - ACM,Florianópolis,https://www.sympla.com.br/api/v1/search
Empreende Arquitetura com Daniel Lucena,Cursos,17/06/2024,11:15,,Universidade do Sul de Santa Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
TALK EXPERIENCE | Negócios&Conexões,Congressos,22/06/2024,11:30,,"R. Lauro Linhares, 1281",Florianópolis,https://www.sympla.com.br/api/v1/search
Intexfy Conecta Presencial,Cursos,25/06/2024,22:00,,"Rod. José Carlos Daux, 5500",Florianópolis,https://www.sympla.com.br/api/v1/search
Keeps Summit 2024,Cursos,24/10/2024,12:00,,ACATE | Centro de Inovação,Florianópolis,https://www.sympla.com.br/api/v1/search
LIVREVINHO 25 de Junho (terça)   - O Acontecimento,,25/06/2024,22:00,,Terroir Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
LIVREVINHO 26 de Junho (quarta)   - O Acontecimento,,26/06/2024,22:00,,Terroir Catarina,Florianópolis,https://www.sympla.com.br/api/v1/search
EXTRAJUDICIAL SUMMIT - 3ª Edição,Congressos,13/07/2024,11:30,,Square SC,Florianópolis,https://www.sympla.com.br/api/v1/search
COMECOMM MASTERS FLORIPA - 26/06,Cursos,26/06/2024,16:00,,CIA PRIMAVERA - ACATE,Florianópolis,https://www.sympla.com.br/api/v1/search
Encontro CAIC de pediatria ambulatorial,Cursos,10/08/2024,11:00,,Local a definir,Florianópolis,https://www.sympla.com.br/api/v1/search
Nelson Rock Festival 6,Shows,07/07/2024,21:00,,John Bull Floripa,Florianópolis,https://www.sympla.com.br/api/v1/search
O Grilo em Florianópolis: TUDO ACONTECE AGORA (pt.1) no John Bull,Shows,06/07/2024,20:00,,John Bull Floripa,Florianópolis,https://www.sympla.com.br/api/v1/search
HALLOGAY 2024,Baladas,02/11/2024,02:00,,Bar do Deca,Florianópolis,https://www.sympla.com.br/api/v1/search
ARRAIÁ DO DECA,Baladas,14/07/2024,02:00,,Bar do Deca,Florianópolis,https://www.sympla.com.br/api/v1/search
Netwoking para Mulheres,Congressos,22/06/2024,17:30,,"R. Silvio Possobon, 47",Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,02/07/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,16/07/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,09/07/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Workshop Prático de Liberação Miofascial Manual,Cursos,13/07/2024,12:00,,Edifício Apolo,Florianópolis,https://www.sympla.com.br/api/v1/search
Fundação Projeto Tamar Florianópolis,,30/04/2024,20:00,,Fundação Projeto Tamar - Florianópolis/SC   ,Florianópolis,https://www.sympla.com.br/api/v1/search
TROOP TAKE OVER na PRAIA com ZOPELAR,Baladas,22/06/2024,18:00,,Mona Beach Club,Florianópolis,https://www.sympla.com.br/api/v1/search
Unidos pelo Rio Grande do Sul,Baladas,06/07/2024,18:00,,Clube Atlético 6 de Janeiro (Assoc. Subt. Sarg. do Exército),Florianópolis,https://www.sympla.com.br/api/v1/search
SindExpo  Florianópolis24 - A Maior Feira de Negócios para Síndicos e Condomínios do Brasil,Congressos,26/07/2024,17:00,,Associação Catarinense de Medicina - ACM,Florianópolis,https://www.sympla.com.br/api/v1/search
3º FEIJOADA PANINI,Baladas,29/06/2024,15:00,,Panini Café,Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,11/06/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,18/06/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
AULAS DE BUDISMO MODERNO,Cursos,25/06/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Meditações de Budismo Moderno,Cursos,06/06/2024,22:30,,Centro de Meditação Kadampa Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Harmonic Edição O Despertar da Sabedoria | Open Air | Florianópolis - Ilha da Magia,Shows,21/07/2024,13:00,,Sítio 3 Meninas | Espaço para Eventos,Florianópolis,https://www.sympla.com.br/api/v1/search
Curso de gestantes CAIC ,Cursos,14/09/2024,11:00,,CAIC - Clínica de Atendimento Integral da Criança,Florianópolis,https://www.sympla.com.br/api/v1/search
PlayBPO Summit - O evento oficial do BPO Financeiro,Congressos,24/10/2024,17:00,,ACM,Florianópolis,https://www.sympla.com.br/api/v1/search
CERTIFICAÇÃO TÉCNICA D-GUARD + SITUATOR CENTER,Cursos,16/07/2024,11:30,,Seventh,Florianópolis,https://www.sympla.com.br/api/v1/search
Ecstatic Jazz - silent disco,Cursos,23/06/2024,19:30,,OASYS - Floripa,Florianópolis,https://www.sympla.com.br/api/v1/search
Palestra Gratuita - Curso Intermissivo / Florianópolis - SC,Congressos,05/07/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
EnergoLab+ - Laboratórios de Técnicas Energéticas Positivas / Florianópolis - SC,Congressos,03/07/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
Palestra Gratuita: Morrer é Mudar de Dimensão / Florianópolis - SC,Congressos,19/07/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
Aula Gratuita: Curso Pacifismologia - Presencial - Florianópolis/SC,Cursos,09/07/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
CBOVET,Congressos,16/04/2026,11:00,,Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
Sábado 06/07 Showcase da HOTOVEN RECORDS - Sunset!,Baladas,06/07/2024,15:00,,Graffi House,Florianópolis,https://www.sympla.com.br/api/v1/search
Método de Choque - O método de treinamento dos atletas olímpicos especial para potência no esporte,Cursos,29/06/2024,11:00,,Academia Rafael Tonet - Florianópolis,Florianópolis,https://www.sympla.com.br/api/v1/search
3° Arraiá Bar do Boni,Baladas,21/06/2024,22:00,,Bar do Boni,Florianópolis,https://www.sympla.com.br/api/v1/search
SODOMA - 12/07,Baladas,13/07/2024,02:00,,"Rod. José Carlos Daux, 14680",Florianópolis,https://www.sympla.com.br/api/v1/search
"Talk [Inovação e impacto: A trajetória pioneira da revista PROJETO], com Fernando Mungioli",Cursos,18/06/2024,12:30,,Shopping Casa & Design,Florianópolis,https://www.sympla.com.br/api/v1/search
Oficina de EXERCÍCIO ÍNTIMO em Florianópolis,Cursos,12/07/2024,21:00,,Yabás Obstetrícia e Ginecologia | no Multi Open Shopping | no Rio Tavares,Florianópolis,https://www.sympla.com.br/api/v1/search
EnergoLab+ - Laboratórios de Técnicas Energéticas Positivas / Florianópolis - SC,Congressos,26/06/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
EnergoLab+ - Laboratórios de Técnicas Energéticas Positivas / Florianópolis - SC,Congressos,19/06/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
Palestra Gratuita  -  Paz: Compromisso Assistencial  / Florianópolis-SC,Congressos,21/06/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
Palestra Gratuita  -  Vidas Passadas: Realidade ou Mito?  / Florianópolis-SC,Congressos,28/06/2024,22:30,,IIPC - Instituto Internacional de Projeciologia e Conscienciologia,Florianópolis,https://www.sympla.com.br/api/v1/search
Parar. Sentir. Respirar.,Cursos,28/07/2024,12:00,,Bendito Tantra,Florianópolis,https://www.sympla.com.br/api/v1/search
Conversas de Comadres - Amadurecimento Feminino,Congressos,18/06/2024,21:00,,Casa Sankalpa,Florianópolis,https://www.sympla.com.br/api/v1/search
PULSOUNDS,Congressos,21/07/2024,11:00,,Selina Floripa & Cowork,Florianópolis,https://www.sympla.com.br/api/v1/search
Bando Gadje - grupo de estudos de Jazz Manouche,Cursos,02/07/2024,21:00,,Sala M,Florianópolis,https://www.sympla.com.br/api/v1/search
